epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants,vaccinated_third,vaccinated_third_per_100_inhabitants
10,2020-03-06,Brazil,BA,TOTAL,0,0,1,1,0,1,0.0,0.00672,0.0,,,,,,,,,,,,
10,2020-03-07,Brazil,BA,TOTAL,0,0,1,2,0,2,0.0,0.01345,0.0,,,,,,,,,,,,
11,2020-03-08,Brazil,BA,TOTAL,0,0,0,2,0,2,0.0,0.01345,0.0,,,,,,,,,,,,
11,2020-03-09,Brazil,BA,TOTAL,0,0,0,2,0,2,0.0,0.01345,0.0,,,,,,,,,,,,
11,2020-03-10,Brazil,BA,TOTAL,0,0,0,2,0,2,0.0,0.01345,0.0,,,,,,,,,,,,
11,2020-03-11,Brazil,BA,TOTAL,0,0,1,3,0,2,0.0,0.02017,0.0,,,,,,,,,,,,
11,2020-03-12,Brazil,BA,TOTAL,0,0,0,3,0,2,0.0,0.02017,0.0,,,,,,,,,,,,
11,2020-03-13,Brazil,BA,TOTAL,0,0,4,7,0,2,0.0,0.04706,0.0,,,,,,,,,,,,
11,2020-03-14,Brazil,BA,TOTAL,0,0,0,7,0,2,0.0,0.04706,0.0,,,,,,,,,,,,
12,2020-03-15,Brazil,BA,TOTAL,0,0,2,9,0,2,0.0,0.06051,0.0,,,,,,,,,,,,
12,2020-03-16,Brazil,BA,TOTAL,0,0,1,10,0,2,0.0,0.06724,0.0,,,,,,,,,,,,
12,2020-03-17,Brazil,BA,TOTAL,0,0,4,14,0,3,0.0,0.09413,0.0,,,,,,,,,,,,
12,2020-03-18,Brazil,BA,TOTAL,0,0,13,27,0,3,0.0,0.18154,0.0,,,,,,,,,,,,
12,2020-03-19,Brazil,BA,TOTAL,0,0,4,31,0,30,0.0,0.20843,0.0,,,,,,,,,,,,
12,2020-03-20,Brazil,BA,TOTAL,0,0,3,34,0,33,0.0,0.2286,0.0,,,,,,,,,,,,
12,2020-03-21,Brazil,BA,TOTAL,0,0,7,41,0,41,0.0,0.27567,0.0,,,,,,,,,,,,
13,2020-03-22,Brazil,BA,TOTAL,0,0,14,55,0,49,0.0,0.3698,0.0,,,,,,,,,,,,
13,2020-03-23,Brazil,BA,TOTAL,0,0,8,63,0,63,0.0,0.42358,0.0,,1219.0,,,,,,,,,,
13,2020-03-24,Brazil,BA,TOTAL,0,0,16,79,0,76,0.0,0.53116,0.0,1.0,1219.0,,,,,,,,,,
13,2020-03-25,Brazil,BA,TOTAL,0,0,12,91,0,84,0.0,0.61184,0.0,1.0,1219.0,,,,,,,,,,
13,2020-03-26,Brazil,BA,TOTAL,0,0,17,108,0,104,0.0,0.72614,0.0,16.0,1219.0,,,,,,,,,,
13,2020-03-27,Brazil,BA,TOTAL,0,0,15,123,0,115,0.0,0.827,0.0,16.0,1219.0,,,,,,,,,,
13,2020-03-28,Brazil,BA,TOTAL,0,0,4,127,0,127,0.0,0.85389,0.0,16.0,1219.0,,,,,,,,,,
14,2020-03-29,Brazil,BA,TOTAL,1,1,29,156,1,154,0.00672,1.04888,0.00641,16.0,1219.0,,,,,,,,,,
14,2020-03-30,Brazil,BA,TOTAL,1,2,20,176,1,176,0.01345,1.18335,0.01136,16.0,1219.0,,,,,,,,,,
14,2020-03-31,Brazil,BA,TOTAL,0,2,41,217,2,213,0.01345,1.45901,0.00922,16.0,1219.0,,,,,,,,,,
14,2020-04-01,Brazil,BA,TOTAL,0,2,29,246,2,246,0.01345,1.654,0.00813,16.0,1219.0,,,,,,,,,,
14,2020-04-02,Brazil,BA,TOTAL,1,3,21,267,3,267,0.02017,1.79519,0.01124,16.0,1219.0,,,,,,,,,,
14,2020-04-03,Brazil,BA,TOTAL,3,6,23,290,5,282,0.04034,1.94983,0.02069,16.0,1219.0,,,,,,,,,,
14,2020-04-04,Brazil,BA,TOTAL,1,7,46,336,7,332,0.04706,2.25912,0.02083,16.0,1219.0,,,,,,,,,,
15,2020-04-05,Brazil,BA,TOTAL,2,9,65,401,9,401,0.06051,2.69615,0.02244,16.0,1219.0,,,,,,,,,,
15,2020-04-06,Brazil,BA,TOTAL,1,10,36,437,10,431,0.06724,2.9382,0.02288,63.0,1219.0,,,,,,,,,,
